order_id,order_time,delivery_time,restaurant,cuisine,total_amount,rating,location,city,ordered_qty,book_table,online_order,distance_km
ORD_0001,2023-11-19 09:03:00,2023-11-19 09:24:00,Toit,Desserts,58.22,NEW,Electronic City,bengaluru,2,No,Yes,7.83
ORD_0002,2023-10-25 03:07:00,,Meghana Foods,Mexican,63.31,4.0/5,Marthahalli,bengaluru,6,Yes,,
ORD_0003,2023-10-28 16:48:00,,Nandhini,Mughlai,70.13,4.0/5,Malleshwaram,Bengaluru,6,No,,
ORD_0004,2023-12-08 13:08:00,,Nandhini,Continental,81.84,4.0/5,Jayanagar,bengaluru,8,,No,
ORD_0005,2023-11-20 10:36:00,2023-11-20 11:37:00,Vidyarthi Bhavan,Continental,5.04,NEW,BTM Layout,Bnegaluru,7,Yes,Yes,12.34
ORD_0006,2023-12-09 09:30:00,2023-12-09 09:59:00,Truffles,North Indian,77.93,NEW,Electronic City,bengaluru,6,,Yes,3.37
ORD_0007,2023-10-26 07:06:00,,Corner House,Continental,104.17,3.0 / 5,BTM Layout,bengaluru,1,,,
ORD_0008,2023-11-15 02:45:00,,Starbucks,Desserts,100.27,3.0 / 5,BTM Layout,Bengaluru ,8,No,,
ORD_0009,2023-12-21 05:57:00,2023-12-21 06:59:00,Starbucks,South Indian,84.82,3.1/5,HSR Layout,Bengaluru ,1,,Yes,9.02
ORD_0010,2023-12-09 00:25:00,,Pizza Hut,Japanese,64.17,3.0 / 5,Marthahalli,Bnegaluru,6,Yes,,
ORD_0011,2023-12-27 18:00:00,,Pizza Hut,Italian,134.23,3.7/5,Kengeri,Bnegaluru,4,Yes,No,
ORD_0012,2023-10-28 00:06:00,,Leon Grill,Coffee,126.47,NEW,Kengeri,Bnegaluru,3,,,
ORD_0013,2023-10-28 22:00:00,,Toit,Coffee,96.27,,Whitefield,Bengaluru,8,Yes,,
ORD_0014,2023-10-28 01:06:00,,Sushi Zen,Desserts,109.6,2.2/5,Kengeri,Bengaluru ,4,,,
ORD_0015,2023-12-08 15:04:00,,Burger King,North Indian,24.61,,HSR Layout,Bnegaluru,5,,No,
ORD_0016,2023-12-28 12:10:00,,Nandhini,Indian,35.93,,RR Nagar,Bengaluru ,2,Yes,,
ORD_0017,2023-10-29 06:32:00,,Starbucks,Desserts,105.33,2.3/5,Electronic City,bengaluru,2,,,
ORD_0018,2023-12-18 12:30:00,,Truffles,Mexican,27.88,NEW,BTM Layout,Bengaluru,5,,,
ORD_0019,2023-11-11 04:47:00,2023-11-11 05:46:00,Toit,Fast Food,149.83,NEW,RR Nagar,Bengaluru ,5,,Yes,2.07
ORD_0020,2023-12-27 11:39:00,,Taco Bell,Continental,85.77,4.0/5,Indiranagar,Bengaluru ,5,,No,
ORD_0021,2023-12-24 15:47:00,2023-12-24 16:41:00,Starbucks,Italian,68.4,4.0/5,Marthahalli,Bnegaluru,6,,Yes,11.34
ORD_0022,2023-10-11 13:06:00,,Taco Bell,Continental,74.99,4.3/5,HSR Layout,Bengaluru,6,Yes,,
ORD_0023,2023-12-09 10:13:00,,Empire Restaurant,Desserts,37.26,,HSR Layout,Bengaluru,4,No,,
ORD_0024,2023-11-20 13:36:00,,Sushi Zen,Italian,41.82,NEW,BTM Layout,Bengaluru ,7,Yes,,
ORD_0025,2023-10-28 06:56:00,,Leon Grill,Chinese,126.71,4.0/5,Koramangala,bengaluru,1,,No,
ORD_0026,2023-11-18 11:07:00,,Vidyarthi Bhavan,Chinese,82.23,,Banashankari,Bengaluru ,4,,No,
ORD_0027,2023-12-24 07:02:00,,Sushi Zen,Biryani,20.86,4.0/5,Electronic City,Bengaluru,8,Yes,,
ORD_0028,2023-12-25 11:26:00,,Corner House,Continental,53.88,4.0/5,Basavanagudi,bengaluru,5,Yes,,
ORD_0029,2023-12-02 01:47:00,,Corner House,Italian,36.93,NEW,Basavanagudi,Bengaluru ,2,Yes,,
ORD_0030,2023-12-20 13:39:00,,Nandhini,Mughlai,53.53,3.0 / 5,Marthahalli,Bengaluru ,1,No,,
ORD_0031,2023-10-17 02:27:00,,Taco Bell,Biryani,61.95,,Whitefield,Bengaluru,8,,,
ORD_0032,2023-10-21 16:23:00,,Nandhini,South Indian,149.84,,Indiranagar,bengaluru,4,,,
ORD_0033,2023-10-25 23:10:00,,Burger King,Biryani,52.28,4.0/5,Koramangala,Bnegaluru,6,,,
ORD_0034,2023-11-24 07:50:00,2023-11-24 08:53:00,Burger King,Chinese,42.11,4.5/5,RR Nagar,Bengaluru ,5,No,Yes,2.57
ORD_0035,2023-11-19 22:09:00,,Truffles,Chinese,5.07,NEW,RR Nagar,bengaluru,7,No,No,
ORD_0036,2023-10-01 09:39:00,,Empire Restaurant,Mughlai,85.31,4.0/5,BTM Layout,bengaluru,3,No,,
ORD_0037,2023-12-05 07:37:00,,Mainland China,Mughlai,122.29,NEW,Marthahalli,Bengaluru ,6,,,
ORD_0038,2023-11-25 17:41:00,,Empire Restaurant,Fast Food,148.62,4.4/5,BTM Layout,Bengaluru ,3,,,
ORD_0039,2023-10-12 13:42:00,,Meghana Foods,Coffee,130.44,,Indiranagar,bengaluru,5,Yes,,
ORD_0040,2023-11-22 12:35:00,2023-11-22 12:50:00,Taco Bell,Biryani,64.51,4.0/5,Whitefield,bengaluru,7,,Yes,1.69
ORD_0041,2023-11-26 01:09:00,2023-11-26 01:58:00,Starbucks,Mexican,63.93,4.0/5,HSR Layout,Bengaluru,4,,Yes,9.45
ORD_0042,2023-11-18 20:59:00,,Pizza Hut,Japanese,127.85,NEW,Marthahalli,Bengaluru ,1,,,
ORD_0043,2023-11-14 20:41:00,,Starbucks,Fast Food,82.58,4.0/5,RR Nagar,Bengaluru ,5,,,
ORD_0044,2023-10-31 17:17:00,2023-10-31 17:45:00,Nandhini,Mughlai,49.03,3.4/5,Kengeri,Bengaluru,7,,Yes,4.55
ORD_0045,2023-12-28 20:28:00,2023-12-28 21:15:00,Leon Grill,Desserts,13.31,3.0 / 5,Jayanagar,Bengaluru,1,No,Yes,1.2
ORD_0046,2023-11-24 00:55:00,,Truffles,Desserts,72.59,NEW,Marthahalli,Bnegaluru,1,Yes,,
ORD_0047,2023-11-05 11:07:00,2023-11-05 12:11:00,Starbucks,Biryani,23.74,4.0/5,Banashankari,Bnegaluru,1,,Yes,4.69
ORD_0048,2023-11-04 12:26:00,,Burger King,Continental,56.18,4.5/5,Indiranagar,Bnegaluru,7,Yes,No,
ORD_0049,2023-12-19 03:58:00,2023-12-19 04:23:00,Truffles,Japanese,58.37,3.0 / 5,Whitefield,Bnegaluru,7,,Yes,10.58
ORD_0050,2023-12-05 20:15:00,,Empire Restaurant,Chinese,106.52,4.0/5,Basavanagudi,bengaluru,6,Yes,,
ORD_0051,2023-10-17 09:17:00,2023-10-17 09:35:00,McD,Fast Food,104.31,,Malleshwaram,Bengaluru,1,Yes,Yes,14.41
ORD_0052,2023-11-07 19:35:00,,Mainland China,Desserts,127.46,3.6/5,Hebbal,Bnegaluru,6,,,
ORD_0053,2023-11-17 01:34:00,,Empire Restaurant,South Indian,113.57,NEW,Malleshwaram,Bnegaluru,2,No,,
ORD_0054,2023-10-23 18:26:00,,Starbucks,Mughlai,66.54,NEW,Koramangala,Bengaluru ,2,No,No,
ORD_0055,2023-10-28 15:44:00,2023-10-28 16:11:00,Empire Restaurant,Biryani,109.88,NEW,Hebbal,Bengaluru ,2,Yes,Yes,4.89
ORD_0056,2023-10-10 08:28:00,2023-10-10 08:45:00,Sushi Zen,South Indian,45.89,2.6/5,Jayanagar,Bengaluru,8,,Yes,3.64
ORD_0057,2023-10-12 16:28:00,,Corner House,Continental,137.37,,Koramangala,Bengaluru,3,,,
ORD_0058,2023-10-21 08:53:00,,Burger King,Desserts,97.65,3.0 / 5,RR Nagar,Bnegaluru,4,,No,
ORD_0059,2023-11-13 04:41:00,2023-11-13 05:07:00,Burger King,Coffee,19.07,NEW,Electronic City,bengaluru,3,,Yes,2.04
ORD_0060,2023-10-31 22:47:00,2023-10-31 23:25:00,Sushi Zen,South Indian,124.65,NEW,Kengeri,Bnegaluru,7,Yes,Yes,14.91
ORD_0061,2023-11-10 13:01:00,2023-11-10 13:21:00,Pizza Hut,Indian,78.69,3.0 / 5,BTM Layout,Bengaluru,1,No,Yes,3.86
ORD_0062,2023-12-12 02:41:00,,Vidyarthi Bhavan,North Indian,139.73,3.0 / 5,HSR Layout,Bengaluru ,4,,,
ORD_0063,2023-11-19 13:30:00,,Mainland China,Mexican,127.67,3.0 / 5,Indiranagar,Bengaluru ,3,No,,
ORD_0064,2023-11-07 16:21:00,,Nandhini,Japanese,62.58,4.0/5,Marthahalli,Bengaluru,6,,No,
ORD_0065,2023-11-09 07:29:00,,Leon Grill,Chinese,35.05,,Jayanagar,Bnegaluru,6,,,
ORD_0066,2023-10-18 07:13:00,,Empire Restaurant,Mughlai,38.67,NEW,Indiranagar,Bengaluru,8,No,No,
ORD_0067,2023-11-25 15:35:00,,Meghana Foods,Fast Food,136.1,4.0/5,Hebbal,Bengaluru ,6,,,
ORD_0068,2023-12-09 01:33:00,2023-12-09 02:27:00,Mainland China,Fast Food,52.84,NEW,Indiranagar,bengaluru,3,,Yes,2.6
ORD_0069,2023-11-08 21:03:00,2023-11-08 21:29:00,Empire Restaurant,Italian,18.91,4.0/5,Basavanagudi,bengaluru,4,No,Yes,3.07
ORD_0070,2023-11-02 08:22:00,2023-11-02 09:21:00,Burger King,North Indian,62.06,,Marthahalli,bengaluru,2,No,Yes,9.0
ORD_0071,2023-12-02 08:25:00,,Toit,Desserts,32.52,NEW,Kengeri,Bnegaluru,4,,,
ORD_0072,2023-12-07 10:51:00,,Sushi Zen,Chinese,118.84,4.0/5,Banashankari,Bengaluru,1,Yes,No,
ORD_0073,2023-11-15 01:23:00,2023-11-15 02:01:00,Nandhini,South Indian,42.34,NEW,Marthahalli,bengaluru,6,No,Yes,2.26
ORD_0074,2023-10-24 18:43:00,2023-10-24 19:25:00,Truffles,Chinese,34.11,4.0/5,Electronic City,bengaluru,1,,Yes,12.05
ORD_0075,2023-11-16 22:13:00,,Empire Restaurant,Coffee,40.86,2.4/5,HSR Layout,bengaluru,7,,,
ORD_0076,2023-10-07 03:30:00,,Taco Bell,Fast Food,34.74,3.3/5,Jayanagar,Bengaluru ,7,,No,
ORD_0077,2023-12-22 04:10:00,,Empire Restaurant,North Indian,8.02,3.0 / 5,Malleshwaram,Bnegaluru,7,,,
ORD_0078,2023-11-05 15:14:00,,Burger King,Mughlai,101.2,3.6/5,HSR Layout,Bengaluru,1,,,
ORD_0079,2023-11-12 10:07:00,,Truffles,Desserts,81.35,2.8/5,JP Nagar,Bengaluru ,3,Yes,,
ORD_0080,2023-12-25 12:07:00,,Burger King,Chinese,55.32,4.0/5,Banashankari,bengaluru,8,,No,
ORD_0081,2023-12-14 09:40:00,,Empire Restaurant,Continental,112.99,,Hebbal,Bengaluru ,4,Yes,No,
ORD_0082,2023-12-24 10:25:00,,Starbucks,North Indian,73.22,3.0 / 5,JP Nagar,Bnegaluru,8,Yes,No,
ORD_0083,2023-10-04 19:05:00,2023-10-04 20:02:00,Nandhini,North Indian,70.27,3.0 / 5,Hebbal,bengaluru,8,,Yes,9.74
ORD_0084,2023-10-27 04:43:00,2023-10-27 04:59:00,Burger King,Italian,59.58,3.0 / 5,Electronic City,Bengaluru,2,No,Yes,3.03
ORD_0085,2023-12-02 01:55:00,,Toit,Italian,30.33,4.0/5,Indiranagar,bengaluru,2,Yes,,
ORD_0086,2023-12-19 19:15:00,2023-12-19 19:38:00,McD,Coffee,133.52,NEW,Basavanagudi,Bengaluru ,2,,Yes,13.49
ORD_0087,2023-10-29 07:12:00,2023-10-29 08:17:00,McD,North Indian,98.38,3.2/5,Koramangala,Bengaluru ,7,No,Yes,5.37
ORD_0088,2023-11-09 04:16:00,,Truffles,North Indian,128.16,3.0 / 5,RR Nagar,Bnegaluru,3,Yes,No,
ORD_0089,2023-12-16 15:17:00,,Truffles,Continental,16.3,3.0 / 5,Hebbal,bengaluru,3,No,No,
ORD_0090,2023-11-14 23:17:00,2023-11-14 23:55:00,Leon Grill,Desserts,48.93,,Basavanagudi,Bengaluru,2,,Yes,6.88
ORD_0091,2023-10-22 00:52:00,,Taco Bell,South Indian,85.21,NEW,JP Nagar,Bengaluru,6,No,,
ORD_0092,2023-12-10 23:26:00,,Meghana Foods,Mexican,118.71,4.8/5,Jayanagar,bengaluru,4,Yes,,
ORD_0093,2023-11-26 09:37:00,,Mainland China,Biryani,94.8,4.0/5,BTM Layout,Bengaluru,5,Yes,,
ORD_0094,2023-10-21 02:03:00,,Starbucks,North Indian,104.8,3.0 / 5,Basavanagudi,Bengaluru,7,,,
ORD_0095,2023-11-16 15:24:00,,Pizza Hut,Indian,54.18,,JP Nagar,Bengaluru,6,,No,
ORD_0096,2023-10-26 01:20:00,,Corner House,Chinese,84.94,,Indiranagar,Bengaluru,2,,,
ORD_0097,2023-12-26 18:03:00,,Mainland China,Mughlai,54.47,,Banashankari,Bnegaluru,3,Yes,,
ORD_0098,2023-10-17 02:53:00,2023-10-17 03:51:00,Corner House,North Indian,66.37,4.0/5,Jayanagar,bengaluru,7,No,Yes,11.66
ORD_0099,2023-11-10 10:38:00,,Nandhini,Mughlai,103.83,2.3/5,Koramangala,bengaluru,7,Yes,,
ORD_0100,2023-11-04 05:51:00,,Taco Bell,Fast Food,98.25,3.0 / 5,JP Nagar,Bnegaluru,1,Yes,,
ORD_0101,2023-12-23 01:20:00,2023-12-23 02:00:00,Toit,Mughlai,108.01,4.9/5,Kengeri,Bengaluru ,1,,Yes,12.54
ORD_0102,2023-10-30 15:14:00,,Vidyarthi Bhavan,North Indian,137.16,NEW,Electronic City,Bengaluru,6,No,,
ORD_0103,2023-11-06 04:25:00,2023-11-06 05:20:00,Truffles,Japanese,108.56,NEW,Jayanagar,Bengaluru ,3,Yes,Yes,1.75
ORD_0104,2023-10-25 11:31:00,,Sushi Zen,Japanese,18.7,,RR Nagar,Bnegaluru,4,No,,
ORD_0105,2023-11-12 01:03:00,,Meghana Foods,North Indian,61.23,3.0 / 5,Koramangala,Bengaluru ,3,,,
ORD_0106,2023-10-08 04:04:00,,Toit,Mughlai,73.8,NEW,Electronic City,Bengaluru ,4,,,
ORD_0107,2023-11-25 23:20:00,,Nandhini,Italian,22.74,,Indiranagar,bengaluru,5,,,
ORD_0108,2023-12-04 04:04:00,,Empire Restaurant,Indian,145.66,3.0 / 5,Electronic City,Bengaluru ,7,Yes,No,
ORD_0109,2023-12-24 02:19:00,,Corner House,Biryani,76.85,NEW,Kengeri,Bengaluru,5,Yes,No,
ORD_0110,2023-10-03 05:19:00,,Meghana Foods,Biryani,135.19,4.7/5,HSR Layout,bengaluru,4,,No,
ORD_0111,2023-10-16 07:08:00,,Meghana Foods,Italian,31.97,NEW,Malleshwaram,bengaluru,4,Yes,,
ORD_0112,2023-12-22 09:37:00,,Vidyarthi Bhavan,Italian,140.57,3.0 / 5,Electronic City,Bengaluru ,5,,,
ORD_0113,2023-11-05 23:09:00,2023-11-05 23:44:00,Starbucks,South Indian,78.06,NEW,Marthahalli,Bnegaluru,4,Yes,Yes,5.98
ORD_0114,2023-11-15 03:39:00,,Toit,Fast Food,137.92,3.0 / 5,Banashankari,bengaluru,7,,,
ORD_0115,2023-11-15 22:08:00,,McD,North Indian,33.0,3.0/5,Banashankari,Bengaluru,3,Yes,,
ORD_0116,2023-12-09 23:26:00,2023-12-10 00:11:00,Meghana Foods,Coffee,78.06,3.8/5,JP Nagar,bengaluru,5,,Yes,7.64
ORD_0117,2023-10-10 00:55:00,,Meghana Foods,Japanese,134.73,3.6/5,Indiranagar,Bengaluru,2,,,
ORD_0118,2023-12-07 05:44:00,2023-12-07 06:29:00,Mainland China,Chinese,22.49,,Kengeri,Bnegaluru,3,Yes,Yes,2.16
ORD_0119,2023-10-30 15:52:00,,Leon Grill,Biryani,94.95,4.0/5,JP Nagar,Bengaluru,7,,No,
ORD_0120,2023-10-24 08:25:00,,Corner House,Coffee,140.54,NEW,Whitefield,Bnegaluru,6,Yes,,
ORD_0121,2023-10-18 02:00:00,2023-10-18 02:53:00,Nandhini,Chinese,102.43,3.0 / 5,JP Nagar,Bengaluru,7,Yes,Yes,1.65
ORD_0122,2023-12-14 03:10:00,2023-12-14 04:01:00,Sushi Zen,Continental,136.88,NEW,Basavanagudi,Bnegaluru,1,No,Yes,7.74
ORD_0123,2023-10-09 13:28:00,2023-10-09 13:44:00,Meghana Foods,North Indian,100.42,4.7/5,BTM Layout,bengaluru,6,,Yes,3.26
ORD_0124,2023-12-01 19:55:00,,McD,Coffee,124.32,,Whitefield,bengaluru,6,,No,
ORD_0125,2023-11-18 10:58:00,,Pizza Hut,North Indian,8.78,,Electronic City,Bnegaluru,1,No,,
ORD_0126,2023-12-24 02:19:00,2023-12-24 03:05:00,Burger King,Coffee,46.5,NEW,HSR Layout,bengaluru,2,,Yes,1.69
ORD_0127,2023-10-05 03:00:00,,Meghana Foods,Fast Food,27.18,NEW,Indiranagar,bengaluru,6,Yes,No,
ORD_0128,2023-12-02 12:53:00,,Nandhini,South Indian,30.46,3.0 / 5,RR Nagar,Bengaluru,6,,,
ORD_0129,2023-10-14 15:04:00,,Leon Grill,Mughlai,7.83,3.0 / 5,Jayanagar,bengaluru,1,,,
ORD_0130,2023-12-17 03:59:00,,Leon Grill,Chinese,115.44,,Indiranagar,Bengaluru ,1,Yes,No,
ORD_0131,2023-12-13 07:46:00,,Nandhini,Mughlai,145.96,NEW,Malleshwaram,Bengaluru,1,,,
ORD_0132,2023-10-23 19:27:00,2023-10-23 20:14:00,McD,Mexican,49.41,NEW,Malleshwaram,Bnegaluru,8,Yes,Yes,14.83
ORD_0133,2023-12-11 19:04:00,,Empire Restaurant,Mexican,17.73,3.0 / 5,Banashankari,Bengaluru,2,No,,
ORD_0134,2023-12-16 07:41:00,2023-12-16 08:05:00,Starbucks,Chinese,17.77,,BTM Layout,Bengaluru ,6,,Yes,11.42
ORD_0135,2023-11-11 02:42:00,,Empire Restaurant,Italian,74.19,4.0/5,Malleshwaram,Bengaluru ,6,No,,
ORD_0136,2023-10-08 10:19:00,,Truffles,Fast Food,142.48,,Koramangala,bengaluru,3,Yes,No,
ORD_0137,2023-11-12 06:21:00,,Vidyarthi Bhavan,South Indian,97.69,4.3/5,Jayanagar,Bengaluru ,4,Yes,,
ORD_0138,2023-12-26 16:05:00,,Burger King,South Indian,22.79,,Kengeri,bengaluru,4,No,,
ORD_0139,2023-11-12 01:26:00,,McD,Italian,106.32,4.0/5,Electronic City,Bengaluru ,7,,,
ORD_0140,2023-10-02 11:52:00,2023-10-02 12:40:00,Starbucks,Japanese,21.87,NEW,Banashankari,bengaluru,5,Yes,Yes,10.31
ORD_0141,2023-12-08 21:59:00,2023-12-08 22:29:00,Toit,North Indian,39.02,,JP Nagar,Bengaluru,7,No,Yes,11.59
ORD_0142,2023-12-05 06:35:00,2023-12-05 07:21:00,Leon Grill,Continental,78.51,3.0 / 5,Jayanagar,bengaluru,7,,Yes,12.37
ORD_0143,2023-12-17 19:46:00,,Corner House,Italian,13.01,,Electronic City,Bnegaluru,3,No,No,
ORD_0144,2023-10-31 00:56:00,,Sushi Zen,South Indian,97.74,3.0 / 5,Electronic City,Bnegaluru,7,,,
ORD_0145,2023-11-14 04:50:00,,Vidyarthi Bhavan,Mexican,32.29,3.0 / 5,Banashankari,Bengaluru ,1,,,
ORD_0146,2023-12-13 20:03:00,,Starbucks,Biryani,116.06,4.0/5,Marthahalli,Bengaluru ,5,Yes,,
ORD_0147,2023-11-11 16:07:00,,Leon Grill,Fast Food,22.45,3.0 / 5,Indiranagar,Bnegaluru,7,No,No,
ORD_0148,2023-11-20 05:59:00,,Meghana Foods,Coffee,9.85,4.6/5,Marthahalli,Bengaluru,4,Yes,,
